
Interface: 10.4.196.38 --- 0x6
  Internet Address      Physical Address      Type
  10.4.192.1            fc-83-99-ff-98-80     dynamic   
  10.4.192.4            5c-d9-98-53-c4-d1     dynamic   
  10.4.192.5            58-b0-35-aa-ab-c4     dynamic   
  10.4.192.38           00-90-a9-d0-44-1c     dynamic   
  10.4.192.217          c0-56-e3-26-0d-7b     dynamic   
  10.4.192.242          18-a9-05-c0-b4-5a     dynamic   
  10.4.192.250          ec-a8-6b-81-88-50     dynamic   
  10.4.192.251          14-da-e9-ec-e4-c6     dynamic   
  10.4.194.2            00-25-11-88-5d-44     dynamic   
  10.4.194.6            40-16-7e-25-79-95     dynamic   
  10.4.194.19           1c-6f-65-86-58-bb     dynamic   
  10.4.194.24           00-1d-7d-c3-a8-53     dynamic   
  10.4.194.53           7c-05-07-0f-ca-f1     dynamic   
  10.4.194.77           68-5b-35-b3-08-c0     dynamic   
  10.4.194.80           08-60-6e-79-a2-ea     dynamic   
  10.4.194.116          f8-32-e4-bb-5d-7b     dynamic   
  10.4.194.119          b8-88-e3-1f-bc-8a     dynamic   
  10.4.194.129          34-97-f6-8f-05-68     dynamic   
  10.4.194.153          8c-89-a5-20-d0-ce     dynamic   
  10.4.194.155          80-56-f2-d8-26-33     dynamic   
  10.4.194.174          9c-5c-8e-96-97-6b     dynamic   
  10.4.194.182          f8-32-e4-bb-5d-7f     dynamic   
  10.4.194.189          00-24-1d-20-2c-9d     dynamic   
  10.4.194.195          00-10-4b-1b-c2-c3     dynamic   
  10.4.194.213          00-24-e8-9b-03-f4     dynamic   
  10.4.194.239          00-1e-8c-7f-91-74     dynamic   
  10.4.195.13           00-90-a9-b6-03-bf     dynamic   
  10.4.195.31           20-89-84-98-f4-24     dynamic   
  10.4.195.36           4c-72-b9-e5-a0-b8     dynamic   
  10.4.195.44           1c-87-2c-5a-2a-c7     dynamic   
  10.4.195.71           f4-6d-04-2f-c8-9c     dynamic   
  10.4.195.88           14-dd-a9-80-4c-17     dynamic   
  10.4.195.93           f0-4d-a2-f5-f6-49     dynamic   
  10.4.195.101          00-1d-7d-c3-90-1d     dynamic   
  10.4.195.105          bc-ae-c5-c2-53-81     dynamic   
  10.4.195.142          40-8d-5c-10-dd-5d     dynamic   
  10.4.195.149          10-bf-48-3f-af-ab     dynamic   
  10.4.195.158          44-39-c4-39-a8-c0     dynamic   
  10.4.195.162          14-da-e9-b7-c7-52     dynamic   
  10.4.195.164          f8-0f-41-ae-7d-70     dynamic   
  10.4.195.176          40-8d-5c-bc-82-c3     dynamic   
  10.4.195.184          14-da-e9-1b-e3-40     dynamic   
  10.4.195.207          4c-72-b9-e5-a7-2a     dynamic   
  10.4.195.213          6c-f0-49-6d-20-91     dynamic   
  10.4.195.227          bc-ae-c5-8a-51-1e     dynamic   
  10.4.196.3            74-27-ea-1d-c5-c8     dynamic   
  10.4.196.28           54-ab-3a-39-88-94     dynamic   
  10.4.196.30           14-da-e9-ec-d6-35     dynamic   
  10.4.196.45           00-90-a9-3b-9e-ef     dynamic   
  10.4.196.53           bc-ee-7b-5f-3f-dc     dynamic   
  10.4.196.67           9c-5c-8e-87-da-05     dynamic   
  10.4.199.100          14-dd-a9-80-4d-b5     dynamic   
  10.4.199.101          14-dd-a9-80-4c-12     dynamic   
  10.4.199.102          14-dd-a9-80-4e-74     dynamic   
  10.4.199.103          14-dd-a9-80-4c-9b     dynamic   
  10.4.199.104          12-00-15-b7-46-92     dynamic   
  10.4.199.105          14-dd-a9-80-4e-7b     dynamic   
  10.4.199.106          14-dd-a9-80-4d-8b     dynamic   
  10.4.199.108          14-dd-a9-80-4d-81     dynamic   
  10.4.199.110          14-dd-a9-80-4d-b9     dynamic   
  10.4.199.111          14-dd-a9-80-4e-70     dynamic   
  10.4.199.112          f0-79-59-6c-b7-36     dynamic   
  10.4.199.113          14-dd-a9-80-4c-18     dynamic   
  10.4.199.255          ff-ff-ff-ff-ff-ff     static    
  224.0.0.2             01-00-5e-00-00-02     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  233.89.188.1          01-00-5e-59-bc-01     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
  255.255.255.255       ff-ff-ff-ff-ff-ff     static    
